route_id,point_index,lat,lon,cum_distance_km,elevation_m_raw,elevation_m_smoothed,segment_length_m,delta_elevation_m,gradient_percent,cum_elevation_gain_m,cum_elevation_loss_m
manali_leh,66,32.350912670123186,77.13054939220605,16.873,2806.0,2815.8,295.0,16.6,5.63,910.3,0.0
manali_leh,67,32.35151102242926,77.13139978386133,16.977,2851.0,2834.6,104.0,18.8,18.08,929.1,0.0
manali_leh,68,32.353514129672575,77.12936264348163,17.271,2854.0,2853.6,293.6,19.0,6.47,948.1,0.0
manali_leh,69,32.35498646818191,77.12865881955842,17.447,2869.0,2871.8,176.6,18.2,10.31,966.3,0.0
manali_leh,70,32.35310904495114,77.1307779047557,17.736,2888.0,2882.8,288.4,11.0,3.81,977.3,0.0
manali_leh,71,32.3536514318116,77.13054270728506,17.8,2897.0,2896.2,64.2,13.4,20.86,990.7,0.0
manali_leh,72,32.356037283510446,77.12920551742658,18.093,2906.0,2910.2,293.5,14.0,4.77,1004.7,0.0
manali_leh,73,32.354171435146164,77.13079168467132,18.349,2921.0,2924.4,255.4,14.2,5.56,1018.9,0.0
manali_leh,74,32.35477479273885,77.13107413786774,18.421,2939.0,2937.6,72.1,13.2,18.3,1032.1,0.0
manali_leh,75,32.355077309428935,77.13170025505207,18.489,2959.0,2953.8,67.8,16.2,23.91,1048.3,0.0
manali_leh,76,32.35327227671945,77.13393233074294,18.779,2963.0,2971.8,290.2,18.0,6.2,1066.3,0.0
manali_leh,77,32.352916283084234,77.13483182195492,18.872,2987.0,2988.6,93.3,16.8,18.01,1083.1,0.0
manali_leh,78,32.355422321512485,77.13368384677125,19.171,3011.0,3010.0,298.8,21.4,7.16,1104.5,0.0
manali_leh,79,32.35731807505165,77.1314590823805,19.468,3023.0,3032.6,296.8,22.6,7.61,1127.1,0.0
manali_leh,80,32.35987022388325,77.13214046244377,19.759,3066.0,3058.6,290.9,26.0,8.94,1153.1,0.0
manali_leh,81,32.36234102875933,77.13275329272746,20.04,3076.0,3088.0,280.7,29.4,10.47,1182.5,0.0
manali_leh,82,32.364901491207654,77.13375568236151,20.339,3117.0,3135.4,299.9,47.4,15.81,1229.9,0.0
manali_leh,83,32.36745876072597,77.13477410165238,20.639,3158.0,3175.4,300.0,40.0,13.33,1269.9,0.0
manali_leh,84,32.37001603024428,77.13579252094326,20.939,3260.0,3198.0,300.0,22.6,7.53,1292.5,0.0
manali_leh,85,32.37257329976259,77.13681094023414,21.239,3266.0,3214.8,300.0,16.8,5.6,1309.3,0.0
